"","ID","Title","Rel_Date","Budget"
"374",435577,"The 12th Man",2017-12-25,7806306
"378",1930,"The Amazing Spider-Man",2012-06-27,215000000
"384",345940,"The Meg",2018-08-09,150000000
"386",273477,"Scouts Guide to the Zombie Apocalypse",2015-10-23,15000000
"389",190469,"Redirected",2014-01-10,2700000
"399",321612,"Beauty and the Beast",2017-03-16,160000000
"408",82702,"How to Train Your Dragon 2",2014-06-09,145000000
"409",135397,"Jurassic World",2015-06-06,150000000
"419",35552,"The Extraordinary Adventures of Adèle Blanc-Sec",2010-04-09,25000000
"423",419430,"Get Out",2017-02-24,4500000
"428",93456,"Despicable Me 2",2013-06-25,76000000
"439",44147,"Wild Target",2010-06-17,8000000
"444",242582,"Nightcrawler",2014-10-23,8500000
"446",87499,"The East",2013-05-31,6500000
"455",77805,"Lovelace",2013-08-08,10000000
"456",61791,"Rise of the Planet of the Apes",2011-08-03,93000000
"458",226486,"Tammy",2014-07-02,20000000
"459",243940,"The Lazarus Effect",2015-01-29,3300000
"465",375262,"The Favourite",2018-11-23,15000000
"470",55301,"Alvin and the Chipmunks: Chipwrecked",2011-12-14,75000000
"473",508763,"A Dog's Way Home",2019-01-10,18000000
"474",360920,"The Grinch",2018-11-08,75000000
"480",49051,"The Hobbit: An Unexpected Journey",2012-11-26,250000000
"488",58232,"Chalet Girl",2011-02-02,8000000
"490",10191,"How to Train Your Dragon",2010-03-10,165000000
"503",35019,"Nanny McPhee and the Big Bang",2010-03-26,35000000
"518",399360,"Alpha",2018-08-17,51000000
"523",38363,"Fair Game",2010-05-20,22000000
"525",320288,"Dark Phoenix",2019-06-05,190000000
"536",84165,"2 Days in New York",2012-03-28,8000000
"540",82696,"Hope Springs",2012-08-07,30000000
"542",457136,"Mary Queen of Scots",2018-12-07,25000000
"543",206647,"Spectre",2015-10-26,245000000
"545",77875,"Playing for Keeps",2012-11-29,35000000
"551",342521,"Keanu",2016-04-21,15000000
"558",73937,"The Big Year",2011-10-13,41000000
"561",49026,"The Dark Knight Rises",2012-07-16,250000000
"565",449924,"Ip Man 4",2019-10-18,52000000
"567",37414,"The Killer Inside Me",2010-02-19,13000000
"569",339403,"Baby Driver",2017-06-28,34000000
"573",44833,"Battleship",2012-04-11,209000000
"581",147441,"Exodus: Gods and Kings",2014-12-03,140000000
"586",407436,"Mowgli: Legend of the Jungle",2018-11-25,175000000
"598",1865,"Pirates of the Caribbean: On Stranger Tides",2011-05-14,380000000
"619",63493,"The Ledge",2011-05-06,10000000
"620",44629,"Animal Kingdom",2010-06-03,5000000
"622",44945,"Trust",2010-09-10,9500000
"624",336004,"Heist",2015-11-13,8900000
"627",49950,"The Roommate",2011-02-04,16000000
"633",347969,"The Ridiculous 6",2015-12-11,60000000
"643",56288,"Spy Kids: All the Time in the World",2011-08-18,27000000
"649",64639,"Straw Dogs",2011-09-16,25000000
"661",150540,"Inside Out",2015-06-09,175000000
"664",41201,"The Illusionist",2010-02-16,18000000
"667",52015,"Stake Land",2010-09-30,650000
"671",291805,"Now You See Me 2",2016-06-02,90000000
"680",262500,"Insurgent",2015-03-18,110000000
"684",257445,"Goosebumps",2015-08-05,58000000
"686",316029,"The Greatest Showman",2017-12-20,84000000
"688",209403,"Bad Words",2013-09-06,9500000
"690",27585,"Rabbit Hole",2010-12-16,5000000
"698",76341,"Mad Max: Fury Road",2015-05-13,150000000
"699",102382,"The Amazing Spider-Man 2",2014-04-16,200000000
"710",449443,"Den of Thieves",2018-01-18,30000000
"722",447200,"Skyscraper",2018-07-11,125000000
"723",286217,"The Martian",2015-09-30,108000000
"725",45657,"The Ward",2010-09-13,10000000
"726",64682,"The Great Gatsby",2013-05-10,105000000
"727",37724,"Skyfall",2012-10-25,200000000
"729",45094,"Conviction",2010-09-11,12500000
"731",567206,"Xeriphium",2019-05-03,35000
"735",240832,"Lucy",2014-07-25,40000000
"737",194662,"Birdman",2014-08-27,18000000
"738",91314,"Transformers: Age of Extinction",2014-06-25,210000000
"748",405774,"Bird Box",2018-12-13,19800000
"755",400157,"Wonder Park",2019-03-14,100000000
"759",228205,"The Longest Ride",2015-04-09,34000000
"763",150689,"Cinderella",2015-03-12,95000000
"765",44716,"In a Better World",2010-08-26,15000000
"778",484247,"A Simple Favor",2018-08-29,20000000
"782",49017,"Dracula Untold",2014-10-01,10000000
"795",41154,"Men in Black 3",2012-05-23,225000000
"813",49012,"Arthur",2011-04-08,40000000
"815",44129,"The Company Men",2010-10-21,15000000
"820",45272,"Country Strong",2010-12-22,15000000
"821",225886,"Sex Tape",2014-07-17,40000000
"832",101173,"Coriolanus",2011-02-14,7700000
