"","track_name","album","artist","track_type","release_date","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"24","Sweet but Psycho","Sweet but Psycho","Ava Max","single",2018-08-17,93,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,"audio_features","25sgk305KZfyuqVBQIahim","spotify:track:25sgk305KZfyuqVBQIahim","https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim","https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim",187436,4
"25","Without Me","Without Me","Halsey","single",2018-10-04,93,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,"audio_features","5p7ujcrUXASCNwRaWNHR1C","spotify:track:5p7ujcrUXASCNwRaWNHR1C","https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C","https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C",201661,4
"26","Happier","Happier","Marshmello","single",2018-08-17,93,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,"audio_features","2dpaYNEQHiRxtZbfNsse99","spotify:track:2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99",214290,4
"27","Otro Trago","Sueños","Sech","album",2019-04-19,84,0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,"audio_features","1Ej96GIBCTvgH7tNX1r3qr","spotify:track:1Ej96GIBCTvgH7tNX1r3qr","https://api.spotify.com/v1/tracks/1Ej96GIBCTvgH7tNX1r3qr","https://api.spotify.com/v1/audio-analysis/1Ej96GIBCTvgH7tNX1r3qr",225933,4
"28","Verte Ir","Verte Ir","DJ Luian","single",2019-03-28,91,0.857,0.647,11,-4.152,0,0.0984,0.391,1.2e-06,0.0842,0.553,95.982,"audio_features","4lzxJ4jCuFDXXGkE1LmpKR","spotify:track:4lzxJ4jCuFDXXGkE1LmpKR","https://api.spotify.com/v1/tracks/4lzxJ4jCuFDXXGkE1LmpKR","https://api.spotify.com/v1/audio-analysis/4lzxJ4jCuFDXXGkE1LmpKR",267500,4
"29","wish you were gay","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish","album",2019-03-29,92,0.853,0.351,7,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028,"audio_features","3Fj47GNK2kUF0uaEDgXLaD","spotify:track:3Fj47GNK2kUF0uaEDgXLaD","https://api.spotify.com/v1/tracks/3Fj47GNK2kUF0uaEDgXLaD","https://api.spotify.com/v1/audio-analysis/3Fj47GNK2kUF0uaEDgXLaD",221543,4
"30","Tal Vez","Tal Vez","Paulo Londra","single",2019-04-03,89,0.849,0.655,8,-2.899,1,0.106,0.266,0,0.0781,0.76,161.966,"audio_features","46lvmzK8wxAy66tjzXXSh0","spotify:track:46lvmzK8wxAy66tjzXXSh0","https://api.spotify.com/v1/tracks/46lvmzK8wxAy66tjzXXSh0","https://api.spotify.com/v1/audio-analysis/46lvmzK8wxAy66tjzXXSh0",264483,4
"31","Con Altura","Con Altura","ROSALÍA","single",2019-03-28,90,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,"audio_features","2qG5sZ7Si6sdK74qLxedYM","spotify:track:2qG5sZ7Si6sdK74qLxedYM","https://api.spotify.com/v1/tracks/2qG5sZ7Si6sdK74qLxedYM","https://api.spotify.com/v1/audio-analysis/2qG5sZ7Si6sdK74qLxedYM",161627,4
"32","Dancing With A Stranger (with Normani)","Dancing With A Stranger (with Normani)","Sam Smith","single",2019-01-11,93,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,"audio_features","6Qs4SXO9dwPj5GKvVOv8Ki","spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki","https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki","https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki",171030,4
"33","Te Robaré","Te Robaré","Nicky Jam","single",2019-03-22,90,0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,"audio_features","6v0lAdFF4haL8xjBIUjtOw","spotify:track:6v0lAdFF4haL8xjBIUjtOw","https://api.spotify.com/v1/tracks/6v0lAdFF4haL8xjBIUjtOw","https://api.spotify.com/v1/audio-analysis/6v0lAdFF4haL8xjBIUjtOw",201818,4
"34","Someone You Loved","Breach","Lewis Capaldi","single",2018-11-08,90,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,"audio_features","2TIlqbIneP0ZY1O0EzYLlc","spotify:track:2TIlqbIneP0ZY1O0EzYLlc","https://api.spotify.com/v1/tracks/2TIlqbIneP0ZY1O0EzYLlc","https://api.spotify.com/v1/audio-analysis/2TIlqbIneP0ZY1O0EzYLlc",182161,4
"35","Swervin (feat. 6ix9ine)","Hoodie SZN","A Boogie Wit da Hoodie","album",2018-12-21,92,0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,"audio_features","1wJRveJZLSb1rjhnUHQiv6","spotify:track:1wJRveJZLSb1rjhnUHQiv6","https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6","https://api.spotify.com/v1/audio-analysis/1wJRveJZLSb1rjhnUHQiv6",189487,4
"36","MIDDLE CHILD","MIDDLE CHILD","J. Cole","single",2019-01-23,93,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,"audio_features","2JvzF1RMd7lE3KmFlsyZD8","spotify:track:2JvzF1RMd7lE3KmFlsyZD8","https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8","https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8",213594,4
"37","i'm so tired...","i'm so tired...","Lauv","single",2019-01-24,92,0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,"audio_features","7COXchtUOMd6uIT6HvmRaI","spotify:track:7COXchtUOMd6uIT6HvmRaI","https://api.spotify.com/v1/tracks/7COXchtUOMd6uIT6HvmRaI","https://api.spotify.com/v1/audio-analysis/7COXchtUOMd6uIT6HvmRaI",162583,4
"38","Earth","Earth","Lil Dicky","single",2019-04-18,87,0.694,0.664,2,-4.649,1,0.05,0.639,0,0.0929,0.676,95.941,"audio_features","2S1LebN6AXXQqJolBxlWgO","spotify:track:2S1LebN6AXXQqJolBxlWgO","https://api.spotify.com/v1/tracks/2S1LebN6AXXQqJolBxlWgO","https://api.spotify.com/v1/audio-analysis/2S1LebN6AXXQqJolBxlWgO",281500,4
"39","lovely","dont smile at me (Expanded Edition)","Billie Eilish","single",2017-08-11,68,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,"audio_features","1NJcg626wLln4pGHpiV7mf","spotify:track:1NJcg626wLln4pGHpiV7mf","https://api.spotify.com/v1/tracks/1NJcg626wLln4pGHpiV7mf","https://api.spotify.com/v1/audio-analysis/1NJcg626wLln4pGHpiV7mf",200186,4
"40","thank u, next","thank u, next","Ariana Grande","album",2019-02-08,92,0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,"audio_features","3e9HZxeyfWwjeyPAMmWSSQ","spotify:track:3e9HZxeyfWwjeyPAMmWSSQ","https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ","https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ",207320,4
"41","So Am I","So Am I","Ava Max","single",2019-03-07,90,0.684,0.677,6,-4.034,1,0.0464,0.0754,0,0.133,0.595,130.141,"audio_features","0uUNN1nSoUx1A4fkDCWDQ7","spotify:track:0uUNN1nSoUx1A4fkDCWDQ7","https://api.spotify.com/v1/tracks/0uUNN1nSoUx1A4fkDCWDQ7","https://api.spotify.com/v1/audio-analysis/0uUNN1nSoUx1A4fkDCWDQ7",184296,4
"42","Secreto","Secreto","Anuel Aa","single",2019-01-15,92,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,"audio_features","5W83ErFkO3aKAIS1WMi6u0","spotify:track:5W83ErFkO3aKAIS1WMi6u0","https://api.spotify.com/v1/tracks/5W83ErFkO3aKAIS1WMi6u0","https://api.spotify.com/v1/audio-analysis/5W83ErFkO3aKAIS1WMi6u0",258800,4
"43","Let Me Down Slowly","Narrated For You","Alec Benjamin","album",2018-11-16,92,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,"audio_features","2qxmye6gAegTMjLKEBoR3d","spotify:track:2qxmye6gAegTMjLKEBoR3d","https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d","https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d",169354,4
"44","On My Way","On My Way","Alan Walker","single",2019-03-21,90,0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,"audio_features","4n7jnSxVLd8QioibtTDBDq","spotify:track:4n7jnSxVLd8QioibtTDBDq","https://api.spotify.com/v1/tracks/4n7jnSxVLd8QioibtTDBDq","https://api.spotify.com/v1/audio-analysis/4n7jnSxVLd8QioibtTDBDq",193798,4
"45","break up with your girlfriend, i'm bored","thank u, next","Ariana Grande","album",2019-02-08,93,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,"audio_features","4kV4N9D1iKVxx1KLvtTpjS","spotify:track:4kV4N9D1iKVxx1KLvtTpjS","https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS","https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS",190440,4
"46","Paradise","Paradise","Bazzi","single",2019-04-04,88,0.844,0.644,11,-6.273,0,0.0479,0.0828,0,0.113,0.591,122.061,"audio_features","7njKgVl3AnLflRad38o7AG","spotify:track:7njKgVl3AnLflRad38o7AG","https://api.spotify.com/v1/tracks/7njKgVl3AnLflRad38o7AG","https://api.spotify.com/v1/audio-analysis/7njKgVl3AnLflRad38o7AG",169038,4
"47","Truth Hurts","Cuz I Love You (Deluxe)","Lizzo","album",2019-05-03,63,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,"audio_features","5qmq61DAAOUaW8AUo8xKhh","spotify:track:5qmq61DAAOUaW8AUo8xKhh","https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh","https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh",173325,4
"48","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Kygo","single",2019-04-19,86,0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,"audio_features","3y3brCCecHC3Db18aIOnny","spotify:track:3y3brCCecHC3Db18aIOnny","https://api.spotify.com/v1/tracks/3y3brCCecHC3Db18aIOnny","https://api.spotify.com/v1/audio-analysis/3y3brCCecHC3Db18aIOnny",215316,4
"49","High Hopes","Pray For The Wicked","Panic! At The Disco","album",2018-06-22,91,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,"audio_features","1rqqCSm0Qe4I9rUvWncaom","spotify:track:1rqqCSm0Qe4I9rUvWncaom","https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom","https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom",190947,4
"50","Sanguine Paradise","Sanguine Paradise","Lil Uzi Vert","single",2019-04-09,89,0.729,0.603,6,-6.736,0,0.0666,0.0948,0,0.113,0.207,134.972,"audio_features","3XiNC94b4Tq1xwv70sQJGN","spotify:track:3XiNC94b4Tq1xwv70sQJGN","https://api.spotify.com/v1/tracks/3XiNC94b4Tq1xwv70sQJGN","https://api.spotify.com/v1/audio-analysis/3XiNC94b4Tq1xwv70sQJGN",243976,4
