"","track_name","album","artist","track_type","release_date","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"24","when the party's over","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish","album",2019-03-29,92,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,"audio_features","43zdsphuZLzwA9k4DJhU0I","spotify:track:43zdsphuZLzwA9k4DJhU0I","https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I","https://api.spotify.com/v1/audio-analysis/43zdsphuZLzwA9k4DJhU0I",196077,4
"25","bury a friend","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish","album",2019-03-29,93,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,"audio_features","4SSnFejRGlZikf02HLewEF","spotify:track:4SSnFejRGlZikf02HLewEF","https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF","https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF",193143,4
"26","Robbery","Death Race For Love","Juice WRLD","album",2019-03-08,88,0.685,0.692,2,-5.122,1,0.0457,0.328,0,0.153,0.578,159.966,"audio_features","6Hj9jySrnFppAI0sEMCZpJ","spotify:track:6Hj9jySrnFppAI0sEMCZpJ","https://api.spotify.com/v1/tracks/6Hj9jySrnFppAI0sEMCZpJ","https://api.spotify.com/v1/audio-analysis/6Hj9jySrnFppAI0sEMCZpJ",240051,5
"27","Envy Me","Envy Me","Calboy","single",2018-12-13,87,0.556,0.481,11,-7.663,1,0.313,0.282,0,0.216,0.581,149.025,"audio_features","05t7JMip6JrLuSrMV5yYjX","spotify:track:05t7JMip6JrLuSrMV5yYjX","https://api.spotify.com/v1/tracks/05t7JMip6JrLuSrMV5yYjX","https://api.spotify.com/v1/audio-analysis/05t7JMip6JrLuSrMV5yYjX",120137,4
"28","wish you were gay","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish","album",2019-03-29,92,0.853,0.351,7,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028,"audio_features","3Fj47GNK2kUF0uaEDgXLaD","spotify:track:3Fj47GNK2kUF0uaEDgXLaD","https://api.spotify.com/v1/tracks/3Fj47GNK2kUF0uaEDgXLaD","https://api.spotify.com/v1/audio-analysis/3Fj47GNK2kUF0uaEDgXLaD",221543,4
"29","break up with your girlfriend, i'm bored","thank u, next","Ariana Grande","album",2019-02-08,92,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,"audio_features","4kV4N9D1iKVxx1KLvtTpjS","spotify:track:4kV4N9D1iKVxx1KLvtTpjS","https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS","https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS",190440,4
"30","Better","Suncity","Khalid","album",2018-10-18,85,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,"audio_features","6zeeWid2sgw4lap2jV61PZ","spotify:track:6zeeWid2sgw4lap2jV61PZ","https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ","https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ",229320,4
"31","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix","single",2019-04-25,85,0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,"audio_features","7Feaw9WAEREY0DUOSXJLOM","spotify:track:7Feaw9WAEREY0DUOSXJLOM","https://api.spotify.com/v1/tracks/7Feaw9WAEREY0DUOSXJLOM","https://api.spotify.com/v1/audio-analysis/7Feaw9WAEREY0DUOSXJLOM",163805,4
"32","Drip Too Hard (Lil Baby & Gunna)","Drip Harder","Lil Baby","album",2018-10-05,87,0.896,0.671,1,-6.977,0,0.289,0.103,0,0.552,0.358,112.502,"audio_features","78QR3Wp35dqAhFEc2qAGjE","spotify:track:78QR3Wp35dqAhFEc2qAGjE","https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE","https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE",145543,4
"33","Without Me","Without Me","Halsey","single",2018-10-04,92,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,"audio_features","5p7ujcrUXASCNwRaWNHR1C","spotify:track:5p7ujcrUXASCNwRaWNHR1C","https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C","https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C",201661,4
"34","Boy With Luv (feat. Halsey)","MAP OF THE SOUL : PERSONA","BTS","album",2019-04-12,95,0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,"audio_features","5KawlOMHjWeUjQtnuRs22c","spotify:track:5KawlOMHjWeUjQtnuRs22c","https://api.spotify.com/v1/tracks/5KawlOMHjWeUjQtnuRs22c","https://api.spotify.com/v1/audio-analysis/5KawlOMHjWeUjQtnuRs22c",229773,4
"35","Mixed Personalities (feat. Kanye West)","We All Shine","YNW Melly","album",2019-01-18,87,0.661,0.44,2,-9.104,1,0.0803,0.457,0,0.128,0.352,149.937,"audio_features","6vWEAOUSxohKxhp0K1BsxL","spotify:track:6vWEAOUSxohKxhp0K1BsxL","https://api.spotify.com/v1/tracks/6vWEAOUSxohKxhp0K1BsxL","https://api.spotify.com/v1/audio-analysis/6vWEAOUSxohKxhp0K1BsxL",230400,4
"36","lovely","dont smile at me (Expanded Edition)","Billie Eilish","single",2017-08-11,67,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,"audio_features","1NJcg626wLln4pGHpiV7mf","spotify:track:1NJcg626wLln4pGHpiV7mf","https://api.spotify.com/v1/tracks/1NJcg626wLln4pGHpiV7mf","https://api.spotify.com/v1/audio-analysis/1NJcg626wLln4pGHpiV7mf",200186,4
"37","Dancing With A Stranger (with Normani)","Dancing With A Stranger (with Normani)","Sam Smith","single",2019-01-11,93,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,"audio_features","6Qs4SXO9dwPj5GKvVOv8Ki","spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki","https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki","https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki",171030,4
"38","SICKO MODE","ASTROWORLD","Travis Scott","album",2018-08-03,89,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,"audio_features","2xLMifQCjDGFmkHkpNLD9h","spotify:track:2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h",312820,4
"39","Eastside (with Halsey & Khalid)","FRIENDS KEEP SECRETS","benny blanco","album",2018-12-07,81,0.632,0.686,6,-7.665,0,0.243,0.549,0,0.2,0.329,89.949,"audio_features","7FGq80cy8juXBCD2nrqdWU","spotify:track:7FGq80cy8juXBCD2nrqdWU","https://api.spotify.com/v1/tracks/7FGq80cy8juXBCD2nrqdWU","https://api.spotify.com/v1/audio-analysis/7FGq80cy8juXBCD2nrqdWU",170770,4
"40","3 Nights","Don't Forget About Me, Demos","Dominic Fike","single",2018-10-16,88,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,"audio_features","1tNJrcVe6gwLEiZCtprs1u","spotify:track:1tNJrcVe6gwLEiZCtprs1u","https://api.spotify.com/v1/tracks/1tNJrcVe6gwLEiZCtprs1u","https://api.spotify.com/v1/audio-analysis/1tNJrcVe6gwLEiZCtprs1u",177667,4
"41","Lucid Dreams","Goodbye & Good Riddance","Juice WRLD","album",2018-12-10,88,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,"audio_features","285pBltuF7vW8TeWk8hdRR","spotify:track:285pBltuF7vW8TeWk8hdRR","https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR","https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR",239836,4
"42","Faucet Failure","STOKELEY","Ski Mask The Slump God","album",2018-11-30,86,0.935,0.552,10,-9.373,0,0.335,0.111,0,0.0952,0.615,99.993,"audio_features","1ThmUihH9dF8EV08ku5AXN","spotify:track:1ThmUihH9dF8EV08ku5AXN","https://api.spotify.com/v1/tracks/1ThmUihH9dF8EV08ku5AXN","https://api.spotify.com/v1/audio-analysis/1ThmUihH9dF8EV08ku5AXN",145627,4
"43","Here With Me","Here With Me","Marshmello","single",2019-03-08,92,0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,"audio_features","5icOoE6VgqFKohjWWNp0Ac","spotify:track:5icOoE6VgqFKohjWWNp0Ac","https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac","https://api.spotify.com/v1/audio-analysis/5icOoE6VgqFKohjWWNp0Ac",156347,4
"44","Happier","Happier","Marshmello","single",2018-08-17,92,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,"audio_features","2dpaYNEQHiRxtZbfNsse99","spotify:track:2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99",214290,4
"45","a lot","i am > i was","21 Savage","album",2018-12-21,87,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,"audio_features","2t8yVaLvJ0RenpXUIAC52d","spotify:track:2t8yVaLvJ0RenpXUIAC52d","https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d","https://api.spotify.com/v1/audio-analysis/2t8yVaLvJ0RenpXUIAC52d",288624,4
"46","Look Back At It","Hoodie SZN","A Boogie Wit da Hoodie","album",2018-12-21,86,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,"audio_features","3Ol2xnObFdKV9pmRD2t9x8","spotify:track:3Ol2xnObFdKV9pmRD2t9x8","https://api.spotify.com/v1/tracks/3Ol2xnObFdKV9pmRD2t9x8","https://api.spotify.com/v1/audio-analysis/3Ol2xnObFdKV9pmRD2t9x8",179449,4
"47","thank u, next","thank u, next","Ariana Grande","album",2019-02-08,91,0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,"audio_features","3e9HZxeyfWwjeyPAMmWSSQ","spotify:track:3e9HZxeyfWwjeyPAMmWSSQ","https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ","https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ",207320,4
"48","Clout (feat. Cardi B)","FATHER OF 4","Offset","album",2019-02-22,83,0.919,0.622,1,-7.384,1,0.0997,0.228,4.24e-06,0.122,0.424,140.022,"audio_features","59ywHNwwchG4nZJMLyxSzd","spotify:track:59ywHNwwchG4nZJMLyxSzd","https://api.spotify.com/v1/tracks/59ywHNwwchG4nZJMLyxSzd","https://api.spotify.com/v1/audio-analysis/59ywHNwwchG4nZJMLyxSzd",205803,4
"49","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Kygo","single",2019-04-19,88,0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,"audio_features","3y3brCCecHC3Db18aIOnny","spotify:track:3y3brCCecHC3Db18aIOnny","https://api.spotify.com/v1/tracks/3y3brCCecHC3Db18aIOnny","https://api.spotify.com/v1/audio-analysis/3y3brCCecHC3Db18aIOnny",215316,4
"50","i","Shelby","Lil Skies","album",2019-03-01,85,0.649,0.453,6,-7.28,1,0.085,0.627,0,0.116,0.431,99.183,"audio_features","4ZT9FnbFu1PaBfV3itxiqT","spotify:track:4ZT9FnbFu1PaBfV3itxiqT","https://api.spotify.com/v1/tracks/4ZT9FnbFu1PaBfV3itxiqT","https://api.spotify.com/v1/audio-analysis/4ZT9FnbFu1PaBfV3itxiqT",181891,4
