"","artist.id","artist.popularity"
"271","6HCZOENaZRSdEWQVSN8vzL",43
"272","66TrUkUZ3RM29dqeDQRgyA",73
"273","2wY79sveU1sp5g7SokKOiI",90
"274","2oX42qP5ineK3hrhBECLmj",75
"275","5BaHqGtf6UAZnHfqdPaTDA",53
"276","5EvFsr3kj42KNv97ZEnqij",75
"277","6igfLpd8s6DBBAuwebRUuo",59
"278","4EzkuveR9pLvDVFNx6foYD",80
"279","5CCwRZC6euC8Odo6y9X8jr",86
"280","2wY79sveU1sp5g7SokKOiI",90
"281","5p7f24Rk5HkUZsaS3BLG5F",83
"282","7o7mC95EDbJKTcPAAs8C3r",62
"283","77oCjVYuCNvK4H4mgwltBy",25
"284","1mU61l2mcjEFraXZLpvVMo",65
"285","3CjlHNtplJyTf9npxaPl5w",81
"286","0S2dfczvN0sOxEw559snHT",58
"287","63yrD80RY3RNEM2YDpUpO8",73
"288","7LTaD4KirzB3MApKKPwpmj",33
"289","5vBSrE1xujD2FXYRarbAXc",77
"290","1bj5GrcLom5gZFF5t949Xl",74
"291","4ScCswdRlyA23odg9thgIO",82
"292","738wLrAtLtCtFOLvQBXOXp",81
"293","4LXBc13z5EWsc5N32bLxfH",70
"294","7wjeXCtRND2ZdKfMJFu6JC",63
"295","5DW7NxqQ2875JtjuV7KMn4",60
"296","5lKZWd6HiSCLfnDGrq9RAm",73
"297","5Rl15oVamLq7FbSb0NNBNy",86
"298","26VFTg2z8YR0cCuwLzESi2",92
"299","5UTSnsj3Xf9gw0vEGk9Jp6",44
"300","1moxjboGR7GNWYIMWsRjgG",80
"301","0OAusXEginMnUycfJiuxrt",40
"302","3CjlHNtplJyTf9npxaPl5w",81
"303","5YkBrE0wF8cAlq3GCOw5Eu",53
"304","4VNQWV2y1E97Eqo2D5UTjx",67
"305","6roDXEmZ6AARdOUv6x5U2v",66
"306","46gyXjRIvN1NL1eCB8GBxo",72
"307","3RbyaF3Pq6iDUKNp04AIcU",56
"308","23fqKkggKUBHNkbKtXEls4",88
"309","2zHHEU3t9cutZFyG0fHdOR",55
"310","0hprEC0nsWuQPSHag1O2Vi",63
"311","6IOvhXyk5edbA2DVaeP9Up",61
"312","181lfzOCuu4U786AdebEya",21
"313","2xMOfuQeNn7IaHchvmwuqz",31
"314","7aJSIsbI5wV8aFi2kkFfPi",53
"315","2NaTjGw60CSAEKY0tQTCYv",35
"316","5QuBVnBPEzwYvFrgBbwpmU",69
"317","23fqKkggKUBHNkbKtXEls4",88
"318","1LOB7jTeEV14pHai6EXSzF",74
"319","2qxJFvFYMEDqd7ui6kSAcq",85
"320","6YvP6AXefuZ3bROoEVjCiY",60
"321","4D75GcNG95ebPtNvoNVXhz",75
"322","5UWH3rIlO4qbXk6PMFZEbP",42
"323","5UWH3rIlO4qbXk6PMFZEbP",42
"324","5UWH3rIlO4qbXk6PMFZEbP",42
"325","3Z02hBLubJxuFJfhacLSDc",77
"326","3w4VAlllkAWI6m0AV0Gn6a",63
"327","3q9nybxzbSHsesDBHUlP4c",56
"328","63yrD80RY3RNEM2YDpUpO8",73
"329","5ivCbtrcD5N4rD337xIb2z",62
